generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler3	9830	10619	1	0.0322581	0.323048	
LeafPopulationSizeScaler3	13102	7230	1	0.0322581	1.02264	
RootPopulationSizeScaler4	9473	10952	1	0.0322581	0.326657	
LeafPopulationSizeScaler4	10711	9684	1	0.0322581	0.668969	
RootPopulationSizeScaler5	9827	10522	1	0.0322581	0.311423	
LeafPopulationSizeScaler5	12141	8274	1	0.0322581	0.895969	
generation 75000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23924	0	10	0.322581	none	
TimeSizeRateMixer	31139	30144	5	0.16129	0.242144	
TimeRootSizeMixer	17677	19051	3	0.0967742	0.272251	
EventTimeScaler	118732	112568	1	0.0322581	0.58759	
RootPopulationSizeScaler0	11350	10509	1	0.0322581	0.298617	
LeafPopulationSizeScaler0	12308	9656	1	0.0322581	1.0354	
RootPopulationSizeScaler1	10769	11139	1	0.0322581	0.265275	
LeafPopulationSizeScaler1	12442	9442	1	0.0322581	0.281352	
RootPopulationSizeScaler2	10572	11348	1	0.0322581	0.319417	
LeafPopulationSizeScaler2	12756	9094	1	0.0322581	0.800774	
RootPopulationSizeScaler3	10503	11429	1	0.0322581	0.323337	
LeafPopulationSizeScaler3	13986	7832	1	0.0322581	1.03381	
RootPopulationSizeScaler4	10146	11755	1	0.0322581	0.326982	
LeafPopulationSizeScaler4	11447	10438	1	0.0322581	0.67074	
RootPopulationSizeScaler5	10553	11270	1	0.0322581	0.312387	
LeafPopulationSizeScaler5	12942	8924	1	0.0322581	0.903088	
