generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_W8	ln_likelihood_W8	ln_prior_W8	root_height_W8	mutation_rate_W8	freq_1_W8	pop_size_W8	pop_size_E8	pop_size_root_W8	root_height_index_E10	ln_likelihood_E10	ln_prior_E10	root_height_E10	mutation_rate_E10	freq_1_E10	pop_size_E10	pop_size_W10	pop_size_root_E10	root_height_index_E	ln_likelihood_E	ln_prior_E	root_height_E	mutation_rate_E	freq_1_E	pop_size_E	pop_size_W	pop_size_root_E	root_height_index_E13	ln_likelihood_E13	ln_prior_E13	root_height_E13	mutation_rate_E13	freq_1_E13	pop_size_E13	pop_size_W13	pop_size_root_E13	root_height_index_W14	ln_likelihood_W14	ln_prior_W14	root_height_W14	mutation_rate_W14	freq_1_W14	pop_size_W14	pop_size_E14	pop_size_root_W14
500	-8475.89588009638283	74.4733895461598649	6	7.5	0	-648.800263930167148	7.2335239738509145	0.0300724985714073134	1	0.5	0.000657170777127251437	0.00173926914900839839	0.000944274932720119936	1	-4402.06203817037294	9.02120813069976535	0.01060842018607051	1	0.5	0.00682988081823756622	0.005366791356359292	0.00702960882691306809	2	-703.524426183617493	11.251732697651935	0.023228647064176499	1	0.5	0.00176394977565332836	0.00209094460322064354	0.00209130457278782367	3	-501.82958990469848	10.876386011223552	0.00824247703424705637	1	0.5	0.00142493032329148563	0.00140854485943037481	0.00140272792326206694	4	-1298.7557909265056	10.6494525005453724	0.0215732243727229343	1	0.5	0.00203149230398034716	0.00204712193183067452	0.00234502534299927149	5	-920.923770981019743	9.09866047586443116	0.00279774840509845182	1	0.5	0.00175456034138182044	0.000571805361886026562	0.00107909804045199431
550	-8484.15705624763541	73.0577890999382618	5	7.5	0	-650.708545678936389	9.55592207889271705	0.0299202780299944668	1	0.5	0.00081363312899953319	0.00215153179513612484	0.0012912963458222551	1	-4406.59165894930265	9.36008052438358007	0.0109007669250724519	1	0.5	0.00818849478749734613	0.00516492312982511255	0.00626439543759599315	0	-708.136962667814373	11.6753033823205996	0.0299202780299944668	1	0.5	0.00269389802984846974	0.00169692346380183041	0.0022790170875446672	2	-502.505250799249097	10.8510868282762161	0.00932920494033332229	1	0.5	0.00171729452831273347	0.00120988157021741896	0.00141056114256967358	3	-1298.32271287729532	11.7357361554292119	0.0206337903252580938	1	0.5	0.00191228594208805915	0.00213893326616794617	0.00207519698124718904	4	-917.891925275037124	7.71895949783088398	0.0013554945829492794	1	0.5	0.00282980165064691466	0.000279967351314050874	0.0016068282709269723
600	-8478.35343106974688	60.1940452052708608	3	7.5	0	-651.223698257893716	9.19749913844633937	0.0208590291993178446	1	0.5	0.000856330221108260047	0.00151820179930508376	0.00102926409672913837	1	-4401.32931804659711	7.18660376789750543	0.0087189883145924324	1	0.5	0.00615965219139230028	0.00507262713959060873	0.00717889597737192669	0	-703.31872968442508	11.1490322574762253	0.0208590291993178446	1	0.5	0.00202185473476471133	0.00163542973595621815	0.00197828043332518889	1	-499.416607334951323	9.11273991915164672	0.0087189883145924324	1	0.5	0.000838105108398725447	0.00114412685917387449	0.000895734055628286184	0	-1302.36897409490871	11.4828741336710216	0.0208590291993178446	1	0.5	0.00258483368965274759	0.0030279771340218295	0.00246160826351414508	2	-920.696103650970372	8.30120973318244992	0.00105766873828332152	1	0.5	0.00340395861033381463	0.000354618889362228839	0.00195545229527481707
650	-8470.86551285140558	58.1051137784232949	3	7.5	0	-649.889893448845669	9.73115926591458447	0.0216516408425685321	1	0.5	0.000715408014396161189	0.00162506325320977535	0.00116037186908718773	1	-4399.67001532576523	6.89709199245374904	0.010214081279145578	1	0.5	0.00626545243191555402	0.00574378170963496006	0.00765847918569615219	0	-704.136602307282601	11.5361946575203334	0.0216516408425685321	1	0.5	0.00227693534863639179	0.00150922894061681864	0.00188145829496424023	2	-498.179468349707804	8.01238172942079174	0.00346931718411843315	1	0.5	0.00113786134748441645	0.000454038536638747036	0.000808906889671128187	0	-1299.80098392385753	11.5423169723719354	0.0216516408425685321	1	0.5	0.00178750775002353614	0.00275787021268233045	0.00207441822252266107	2	-919.188549495947655	7.09181821066011153	0.00346931718411843315	1	0.5	0.00199882205354216715	0.000233431463604773503	0.00109027838719256
700	-8470.55994839998857	61.3631920109007751	4	7.5	0	-647.364459469048143	7.28886708804616745	0.0221115264701415709	1	0.5	0.000291789851121255811	0.00206370884993314777	0.00128120323571042456	1	-4405.1108066120014	9.4810158798189299	0.0149103692848587318	1	0.5	0.00675815471594389591	0.00686047885870580583	0.00657729722728472854	0	-702.944791946040255	10.701316889771153	0.0221115264701415709	1	0.5	0.00185489125627559624	0.00155930135431787227	0.00189756590385585923	2	-498.177121216914543	8.82391542878136192	0.00697683678670461046	1	0.5	0.00128038962079578505	0.000591448965577731005	0.000966637080842202624	1	-1298.98052393792386	11.5185053604252126	0.0149103692848587318	1	0.5	0.00210768163642497666	0.00155785828578313529	0.00182731049955385722	3	-917.982245218059802	5.24480485399344687	0.000499411424004623573	1	0.5	0.00155945544570247445	0.000142682030769473815	0.000892064011572021799
750	-8467.49078401548468	60.775355958594389	5	7.5	0	-647.615968097999485	7.84339262243468482	0.0261656133941957289	1	0.5	0.000529448769717179063	0.00152205967338924072	0.000872956495835580421	1	-4398.49741561109659	4.15699125665850389	0.0107225899053047646	1	0.5	0.00570956453622949254	0.00664928123319955336	0.00850460707816395878	2	-702.54373605762305	10.1153618299626089	0.0194696853848008722	1	0.5	0.00155368955748944114	0.000897517106382693473	0.00117489831273302953	3	-502.084928608409825	7.64059582748683042	0.0101191474015312356	1	0.5	0.00217679677499473716	0.00058291752128440883	0.00111353256005663191	2	-1298.11870607953415	10.7775933895021439	0.0194696853848008722	1	0.5	0.00141971984520057734	0.00142792182694967884	0.00147850608057935881	4	-918.630029560821299	7.64425757934205308	0.00129787051374997834	1	0.5	0.00170817792663116217	0.000360636522708272019	0.00112522058856760385
800	-8469.36906203195031	71.0809921300112961	6	7.5	0	-646.724433513528083	8.055114336190627	0.0296798046997376261	1	0.5	0.000369809819490237628	0.00171334404956441431	0.00108112559623241831	1	-4403.42560381057228	9.62423253270874923	0.0121575319938018404	1	0.5	0.00639400977505392293	0.00566111122637473312	0.00670935351053738357	2	-703.007764046747866	11.2517113711676444	0.0179638333173408327	1	0.5	0.00193743218798521832	0.00144804725918594164	0.00161042941983475206	3	-499.85656948400765	7.79625178171859545	0.00376743384381097567	1	0.5	0.00196662004629897299	0.000323702822999362655	0.00106700274621755026	4	-1297.5932759328432	9.90624927135925049	0.0181448607520839911	1	0.5	0.00181815687744268776	0.00150372596985786874	0.00193757093371552439	5	-918.761415244250429	6.89956211496184579	0.0027551013711404242	1	0.5	0.00148799940266170719	0.000285511130111402512	0.000956920768664999699
850	-8468.02464870131553	61.8347062281000248	4	7.5	0	-647.020030003671991	5.25701473067839942	0.0213230981409728119	1	0.5	0.000361487293438296573	0.00123692926231742288	0.000976341080250659452	1	-4401.87440076943949	7.9109611827632591	0.00936058001415857911	1	0.5	0.00741160420645196969	0.00590101257900308828	0.00789992347261523134	0	-703.472781497995356	11.5072012132076651	0.0213230981409728119	1	0.5	0.00207876754705473617	0.00157189469392354504	0.00183778002406616292	2	-497.701591100923622	8.22940118303591817	0.00704938501959648505	1	0.5	0.00129568742155116595	0.000447496082441254533	0.000876436250489222974	0	-1298.68296699277789	10.8936276632366109	0.0213230981409728119	1	0.5	0.00131893310280070241	0.00170132231349827932	0.00141953605831821495	3	-919.272878336507461	8.59186834354731488	0.00229789858091751509	1	0.5	0.00205495405663474236	0.000433590155591202276	0.00115646543617376743
900	-8467.33284602650929	65.9522973668965591	4	7.5	0	-648.031338940528713	8.84502070964667553	0.0238277674700781671	1	0.5	0.000526471304695535439	0.00170833015427262016	0.00118195042066064951	1	-4401.31677990337539	9.24359292308622571	0.0108078176106044862	1	0.5	0.00682971347051114681	0.00605918141560327257	0.00714285974557474744	0	-703.836003840416311	11.4532689021384897	0.0238277674700781671	1	0.5	0.00200097319924633218	0.0018618713592240745	0.00177958732205197668	2	-497.770907866423727	8.5027901324236872	0.00680017439163271668	1	0.5	0.00126132487995359336	0.000505730070797648585	0.00087902010565889168	0	-1298.92562456268274	11.4249903594180573	0.0238277674700781671	1	0.5	0.00185131261227706491	0.00175428029944623711	0.00169723835481043017	3	-917.452190913082291	7.33041078880489039	0.001519285885853367	1	0.5	0.00171251393773846515	0.000272300736131957045	0.00100021884920679905
950	-8466.43447969684348	65.2616335056077048	5	7.5	0	-650.063463638928056	9.65757422355692441	0.0305952842685549009	1	0.5	0.000854357991232249526	0.00145407341796981995	0.00123468563469074431	1	-4400.85814698126342	7.25646720882767582	0.0117501212077404452	1	0.5	0.00636308014675371521	0.00580162701856440453	0.00763508277196045006	2	-701.245656121567322	10.1612173825050611	0.0188046404935598051	1	0.5	0.0010169434648253197	0.00131611631781157305	0.00115451030982366659	3	-497.016808697567626	7.07449397898249899	0.00754488389588151009	1	0.5	0.000839903536814831544	0.000558736962377524566	0.00060421424121840457	2	-1298.35568151864459	11.3806048947991378	0.0188046404935598051	1	0.5	0.00154003421033891883	0.0022879979201048061	0.00178000094191132249	4	-918.894722738873497	7.49620897073753767	0.00270094280393276326	1	0.5	0.00229526136916770665	0.000308103750628562834	0.00141988106293472146
1000	-8467.76766527435029	61.9328824763418595	5	7.5	0	-646.130902350887595	6.40123728281545823	0.0289448480904834528	1	0.5	0.000332284494731689337	0.00136358595229922109	0.000718032727172581006	1	-4401.78201623147106	5.39909469176280155	0.0100364636878999963	1	0.5	0.0077562710731984251	0.00669272358273992601	0.00926465804254861247	0	-704.412934152267098	11.240320367632556	0.0289448480904834528	1	0.5	0.00130637291315640713	0.00211911057429367989	0.00171828511902896307	2	-497.930732908872642	7.57586119518860102	0.00820094679510338827	1	0.5	0.000650294213539631336	0.000816556872953874626	0.000644387909029824025	3	-1299.92827160329284	11.3951411127733628	0.0158966974471419532	1	0.5	0.00243945919066488421	0.00186577476064791851	0.00193099175667460683	4	-917.582808027558826	6.94086433233734112	0.000863950172711864389	1	0.5	0.00288383381519323728	0.000222005383774265811	0.00164584148739324804
1050	-8467.6939603028768	67.8272256748675204	6	7.5	0	-647.145332884687264	6.35790326140083195	0.0285370424235357571	1	0.5	0.000438457150272919169	0.00107094246876693962	0.000884123643147488613	1	-4401.91510804108293	9.47660471066485499	0.0122597879063766728	1	0.5	0.00662073077377294157	0.00668109988189337541	0.00702247714113135666	2	-702.349815622993788	10.5555391122241353	0.0232510611438787873	1	0.5	0.000936755654731328343	0.0020149971578175491	0.00148945734322346074	3	-498.854986422847219	7.70990883078517797	0.0102742354230163473	1	0.5	0.000567384325020334418	0.000795162651035457614	0.000713484656173300931	4	-1298.62450184535874	11.4387429368454292	0.0175730320808350285	1	0.5	0.0019799102848528892	0.00227386960709040223	0.00191309957666922271	5	-918.804215485907321	5.70082741432361217	0.00217512013308425369	1	0.5	0.00379789921721437017	0.000136236757995433024	0.00192256278611753245
1100	-8471.85222604353112	59.2163456136662489	4	7.5	0	-649.192831466131793	7.19574062839477335	0.0280682166365364381	1	0.5	0.000476308275849570448	0.00250449524476729305	0.00120022360870990262	1	-4404.11915181466247	9.73215847808258872	0.0122644325725233139	1	0.5	0.00633893176900496205	0.00666289718791243483	0.00612984007750520376	2	-701.460810073221296	9.80230277824670893	0.0170146151139196761	1	0.5	0.000980576291390006889	0.00163821767060155906	0.00144693126366765936	3	-497.97908260825335	8.26135684336901832	0.00452860374456143591	1	0.5	0.000924288249219343185	0.000751028940632770289	0.000922980030362650331	2	-1298.30033803550327	11.0773675232538231	0.0170146151139196761	1	0.5	0.00196292546058128179	0.00124728963081735295	0.00155856229125747201	3	-920.80001204575899	6.58042526243797354	0.00452860374456143591	1	0.5	0.00221021201978994922	0.00024544731223213954	0.00107209571824238908
1150	-8471.39821159305939	61.3620914824381956	4	7.5	0	-649.38508833847402	7.95893408665648394	0.0190306435653589921	1	0.5	0.00052123682604731476	0.00113544820810869808	0.000745929981636294054	1	-4401.27318546099013	4.54662611183933763	0.010646017312021706	1	0.5	0.00761956293958450728	0.00519380334942611249	0.00864895566801604856	0	-701.867006467709189	11.0661027069750943	0.0190306435653589921	1	0.5	0.00136871124344362604	0.0018464509574426869	0.00151443784557364104	2	-502.086077846671742	9.02778319390875694	0.00416279921858936624	1	0.5	0.00195291400365576887	0.00087702709280798282	0.00118003018996543584	0	-1297.72104134296069	10.8975091988148449	0.0190306435653589921	1	0.5	0.00194025647228826623	0.00159955487663329394	0.00194880442090193348	3	-919.065812136253271	7.99242002569212673	0.00191065919046841696	1	0.5	0.00283509531988922333	0.000379597980418859126	0.00141804358136111541
