generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler4	5348	4913	1	0.0285714	0.305547	
LeafPopulationSizeScaler4	6640	3638	1	0.0285714	1.13964	
RootPopulationSizeScaler5	5108	5133	1	0.0285714	0.314823	
LeafPopulationSizeScaler5	5636	4603	1	0.0285714	0.524877	
RootPopulationSizeScaler6	5117	5061	1	0.0285714	0.310098	
LeafPopulationSizeScaler6	6568	3602	1	0.0285714	0.951722	
RootPopulationSizeScaler7	5390	4864	1	0.0285714	0.278476	
LeafPopulationSizeScaler7	5782	4429	1	0.0285714	0.621964	
generation 45000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	12924	0	10	0.285714	none	
TimeSizeRateMixer	19115	19051	5	0.142857	0.223085	
TimeRootSizeMixer	10825	11530	3	0.0857143	0.226869	
EventTimeScaler	75073	69639	1	0.0285714	0.553397	
RootPopulationSizeScaler0	5502	6040	1	0.0285714	0.223054	
LeafPopulationSizeScaler0	6179	5338	1	0.0285714	0.26981	
RootPopulationSizeScaler1	5588	5963	1	0.0285714	0.290006	
LeafPopulationSizeScaler1	5598	6001	1	0.0285714	0.349189	
RootPopulationSizeScaler2	5907	5652	1	0.0285714	0.304595	
LeafPopulationSizeScaler2	6641	4946	1	0.0285714	0.637183	
RootPopulationSizeScaler3	5813	5756	1	0.0285714	0.310319	
LeafPopulationSizeScaler3	7807	3776	1	0.0285714	0.547809	
RootPopulationSizeScaler4	5961	5626	1	0.0285714	0.306845	
LeafPopulationSizeScaler4	7443	4149	1	0.0285714	1.1624	
RootPopulationSizeScaler5	5731	5849	1	0.0285714	0.316152	
LeafPopulationSizeScaler5	6324	5264	1	0.0285714	0.529309	
RootPopulationSizeScaler6	5733	5798	1	0.0285714	0.311296	
LeafPopulationSizeScaler6	7375	4131	1	0.0285714	0.970463	
RootPopulationSizeScaler7	6030	5580	1	0.0285714	0.28001	
LeafPopulationSizeScaler7	6467	5083	1	0.0285714	0.627217	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	14379	0	10	0.285714	none	
TimeSizeRateMixer	21035	21170	5	0.142857	0.22402	
TimeRootSizeMixer	12020	12854	3	0.0857143	0.227568	
EventTimeScaler	82892	77847	1	0.0285714	0.556325	
RootPopulationSizeScaler0	6045	6738	1	0.0285714	0.223221	
LeafPopulationSizeScaler0	6780	5974	1	0.0285714	0.271156	
RootPopulationSizeScaler1	6163	6629	1	0.0285714	0.290969	
LeafPopulationSizeScaler1	6179	6667	1	0.0285714	0.35025	
RootPopulationSizeScaler2	6538	6274	1	0.0285714	0.306481	
LeafPopulationSizeScaler2	7286	5544	1	0.0285714	0.642583	
RootPopulationSizeScaler3	6422	6387	1	0.0285714	0.31211	
LeafPopulationSizeScaler3	8540	4271	1	0.0285714	0.556874	
RootPopulationSizeScaler4	6581	6269	1	0.0285714	0.308261	
LeafPopulationSizeScaler4	8178	4675	1	0.0285714	1.17774	
RootPopulationSizeScaler5	6307	6511	1	0.0285714	0.317101	
LeafPopulationSizeScaler5	6956	5874	1	0.0285714	0.532857	
RootPopulationSizeScaler6	6323	6476	1	0.0285714	0.312487	
LeafPopulationSizeScaler6	8099	4659	1	0.0285714	0.984425	
