generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_N1	ln_likelihood_N1	ln_prior_N1	root_height_N1	mutation_rate_N1	freq_1_N1	pop_size_N1	pop_size_S1	pop_size_root_N1	root_height_index_E2	ln_likelihood_E2	ln_prior_E2	root_height_E2	mutation_rate_E2	freq_1_E2	pop_size_E2	pop_size_W2	pop_size_root_E2	root_height_index_N3	ln_likelihood_N3	ln_prior_N3	root_height_N3	mutation_rate_N3	freq_1_N3	pop_size_N3	pop_size_S3	pop_size_root_N3	root_height_index_E4	ln_likelihood_E4	ln_prior_E4	root_height_E4	mutation_rate_E4	freq_1_E4	pop_size_E4	pop_size_W4	pop_size_root_E4	root_height_index_S5	ln_likelihood_S5	ln_prior_S5	root_height_S5	mutation_rate_S5	freq_1_S5	pop_size_S5	pop_size_N5	pop_size_root_S5	root_height_index_S6	ln_likelihood_S6	ln_prior_S6	root_height_S6	mutation_rate_S6	freq_1_S6	pop_size_S6	pop_size_N6	pop_size_root_S6	root_height_index_S7	ln_likelihood_S7	ln_prior_S7	root_height_S7	mutation_rate_S7	freq_1_S7	pop_size_S7	pop_size_N7	pop_size_root_S7	root_height_index_E8	ln_likelihood_E8	ln_prior_E8	root_height_E8	mutation_rate_E8	freq_1_E8	pop_size_E8	pop_size_W8	pop_size_root_E8
500	-14019.3689497899013	76.517957514210579	6	7.5	0	-3602.90745114839274	-1.60990714402977986	0.0114670291726568663	1	0.5	0.00331832565846745114	0.0166984164727317433	0.0134972618415599016	1	-3793.72456780809989	5.62340349588428978	0.0270062777734923071	1	0.5	0.00633954156502119191	0.0107174399743808959	0.0100510705826297887	2	-975.378110550274869	12.0572499448084614	0.0191480074550126854	1	0.5	0.00353734653885903923	0.00225589791578155018	0.00287177625248247149	0	-1218.61247339414535	11.0465308258445951	0.0114670291726568663	1	0.5	0.00136044922566047936	0.00177813859540704839	0.00161881384004403518	3	-452.889519596961065	8.10371285034436539	0.00780210290576058545	1	0.5	0.000715308149013144491	0.000892044158502108071	0.000713921994460533626	4	-1222.05512391711932	10.4080034810047657	0.0300866240262314955	1	0.5	0.00709973011845877865	0.00201205671602654309	0.00469136815232143022	5	-746.031610685908277	8.2584618598365509	0.0068097618409599962	1	0.5	0.00114077665983891726	0.000556904025944767052	0.000907793267199896161	0	-2007.77009268899974	11.4514463525435275	0.0114670291726568663	1	0.5	0.00490197383836012048	0.0022548085705026118	0.0033118053642692785
550	-14011.6279979131596	67.6580722863592143	5	7.5	0	-3596.78104205548379	-6.45927024350342549	0.0109560635659762973	1	0.5	0.00269854472947567885	0.0177789749696275062	0.0151598281764428137	1	-3798.1949272452357	7.25118965065241738	0.0336766755670436999	1	0.5	0.00746685828720663157	0.00878219233813817661	0.00901506765701617918	0	-976.065497470460969	10.2305569289519553	0.0109560635659762973	1	0.5	0.00359801034884612387	0.00165681567663955001	0.00307894128263311783	2	-1215.96882212126775	10.7690384601523803	0.00995287237778573301	1	0.5	0.00128410514482457097	0.00147706447548199182	0.00138626798295815655	3	-454.585662583716214	10.1935637393672103	0.00361523833208432597	1	0.5	0.000951540505535818787	0.00175773677472922281	0.00124622364681430098	1	-1221.19692193298351	10.4451146713690619	0.0336766755670436999	1	0.5	0.00583955194445551391	0.00251195124460173265	0.00471007639056370518	4	-744.852867728427896	7.50310743751339615	0.00594673339009424168	1	0.5	0.000883691564109617342	0.000574558292535951596	0.000643729093995200081	2	-2003.98225677558139	10.0417141868597533	0.00995287237778573301	1	0.5	0.00574220293660166869	0.00156581419849045368	0.00411510951352864716
600	-14011.0349686291702	72.9738601638897819	7	7.5	0	-3601.37067830811111	-4.16728321652142952	0.00989572145652017551	1	0.5	0.00204668501976147709	0.0143019866822040476	0.0121900101334092171	1	-3793.89832405036714	5.01804120891852889	0.0257390590735410707	1	0.5	0.0051719475958753305	0.0114402731779767591	0.010094333276940072	2	-974.683374983877684	10.6902426908433874	0.0120411869469577142	1	0.5	0.00367507927803615003	0.000964965978407266258	0.00239461717433008718	3	-1211.59278692837074	7.52002765824712682	0.00597877631237220784	1	0.5	0.000729470288219036603	0.00112388609512885547	0.00109528067977390396	4	-457.612139139806345	10.9549119274533311	0.00707764489355825442	1	0.5	0.0013615722784303219	0.00172564396231613196	0.00161101428141576159	5	-1222.18485098173142	10.2611353095348008	0.0327571642828330747	1	0.5	0.00753682195290760869	0.00231379118084650741	0.00467777719370000757	6	-743.374716737157655	4.0258120080156985	0.00492148494791374257	1	0.5	0.000525935799197422161	0.000626566130803329056	0.000725707995836162578	0	-2006.31809749974718	11.1741141774123598	0.00989572145652017551	1	0.5	0.00541862393845143637	0.00278496629937502373	0.00442918814637303752
650	-14011.8438988323614	72.2768275061965113	6	7.5	0	-3596.6304253931612	-6.63278063769117665	0.00966965657695607536	1	0.5	0.00226886810931521124	0.0189476866720170965	0.0154149347470057974	1	-3798.71715858985908	8.64477071575456435	0.0355461648810818584	1	0.5	0.00479668875020885892	0.0096853923247062039	0.00726355574939737715	2	-973.663606312411275	10.2024313501511763	0.0158945513375222842	1	0.5	0.00326982212446245762	0.000721258511517967643	0.00197120740353211874	3	-1213.22166508543387	9.28613019963080433	0.0106066503155629616	1	0.5	0.000846491734688944336	0.00132943484012953343	0.00119037766976680458	4	-456.529205419906077	9.963045035900155	0.00452554071744258688	1	0.5	0.00150757156444520507	0.00152458219076683768	0.00173828609223099988	1	-1222.48934348200169	10.1913324043435694	0.0355461648810818584	1	0.5	0.00746386060796076604	0.00304949689366900128	0.00481569688577107059	5	-745.041844195569979	8.39124198847989078	0.00885271700471899035	1	0.5	0.000641667831281073553	0.000906302054039854511	0.000791930348580066439	0	-2005.55065035401822	10.022295548130753	0.00966965657695607536	1	0.5	0.00505052250398732323	0.00275990464873452235	0.00462546368495178172
700	-14008.9010763529368	59.7671459101830891	4	7.5	0	-3601.38012900790454	-1.89107915377796942	0.00912723867786436119	1	0.5	0.00242379937082583177	0.0185141888974647666	0.0135892635153636674	1	-3791.7410994500392	0.491752493428002424	0.0291088882235308599	1	0.5	0.00586068793384322481	0.010516875032763091	0.0115803208029359762	2	-973.955287958373447	8.75320266961922044	0.0141631797550995416	1	0.5	0.00359394164817687222	0.000674846027021866295	0.00246771024288531702	0	-1213.59161083386834	9.8915609850113313	0.00912723867786436119	1	0.5	0.000969299416065606736	0.00156336735249265201	0.0013759779199215567	3	-454.757314777269301	10.4812947901836324	0.00404802807156358704	1	0.5	0.00180856271219806278	0.000958060876578096837	0.00139785870010667736	1	-1221.53138710574103	11.4873111057187884	0.0291088882235308599	1	0.5	0.00529156155481061777	0.00280187587781198164	0.00421367337999973331	0	-744.995857910026757	7.71025000881147449	0.00912723867786436119	1	0.5	0.000693444174028882434	0.000753944674688921367	0.000792164585638180352	2	-2006.948389309714	10.3166967316699569	0.0141631797550995416	1	0.5	0.00589753843094417782	0.00326441689773755706	0.00521560125495286551
750	-14005.9228781314923	59.9007228870573414	5	7.5	0	-3598.02512932306126	-4.62758750782730743	0.00949707106688796668	1	0.5	0.00216997411087657514	0.015979162944712258	0.0133040106577088924	1	-3791.31043535597109	-0.109585047193395013	0.0236349627359151125	1	0.5	0.00522158012153993347	0.0109075294667024016	0.0115667451936745623	1	-973.915025088305583	10.5894247706615054	0.0236349627359151125	1	0.5	0.00429506517300952059	0.000950195905118706471	0.00262060692693469929	2	-1212.50841094987413	9.56079355648401474	0.00619901508442625548	1	0.5	0.000717510716700764145	0.00152946593795958135	0.00106526735809196662	3	-453.849601808954105	9.28623825023376526	0.0068949642743545295	1	0.5	0.0014067373966055851	0.000812417583039406967	0.000990210518923795475	4	-1223.50741189489577	11.2234747902628591	0.0248343367428366935	1	0.5	0.00580600609543272059	0.00363062908193708409	0.00488917231600829311	3	-743.369604335976874	6.341541902068208	0.0068949642743545295	1	0.5	0.00040862335010220048	0.000851911069053179417	0.000545641792154561702	0	-2009.43725937445106	10.6446413845148662	0.00949707106688796668	1	0.5	0.00696679136750292562	0.00367288881807591476	0.00545508470160745336
800	-14012.2237419731773	59.6593569615138222	4	7.5	0	-3598.34287430252152	-5.68048266756366615	0.0107522873364756973	1	0.5	0.00233600541341543767	0.0193828311364819088	0.0153228247188002906	1	-3793.8108962787237	6.43989446799119847	0.0298944749925454771	1	0.5	0.00572845453588966512	0.0106970060914559836	0.00940402378161692663	1	-978.45816906973414	9.98592131242017444	0.0298944749925454771	1	0.5	0.00234196753708666413	0.00075829481532925405	0.00142678150691922124	2	-1213.2750896436512	9.25690469479313904	0.007819926896303021	1	0.5	0.000942531708503469359	0.00159116320618614936	0.001445343304393982	2	-454.128694781245258	9.56286079427990288	0.007819926896303021	1	0.5	0.00101403645181826906	0.000981603732113900482	0.00101873783347929321	3	-1222.03548439741326	11.3104962934561044	0.03245952995162215	1	0.5	0.00532124738897540254	0.00325771410264177582	0.00393055077952033597	2	-745.010524988927045	8.13718380963090837	0.007819926896303021	1	0.5	0.000762066904835274352	0.000849796501369867816	0.000715474676471858579	0	-2007.16200851096073	10.5683104218762161	0.0107522873364756973	1	0.5	0.00702325929688766681	0.00270851315890591237	0.00509330010526660298
850	-14000.497527562251	70.3308830431887912	6	7.5	0	-3595.13264862349661	-9.26694666579991022	0.0085511807375481183	1	0.5	0.00223301298115287936	0.0187936051714678518	0.0161350408439601134	1	-3794.69581045896939	6.85213378145046903	0.0303715340820328132	1	0.5	0.00660891168343466853	0.0100133229435915641	0.0092624607921056	2	-973.03872993073378	10.6922666444590995	0.0198388513418076597	1	0.5	0.00396989689036651629	0.00103181751228527863	0.00261746386894776834	3	-1213.70254383766587	9.98220547911130396	0.00986884719120103247	1	0.5	0.000951139411794887403	0.00159268157874026045	0.00115772914524503489	4	-453.163628461711426	9.92959584836112086	0.00520010535791037756	1	0.5	0.00114178504295050359	0.00103061763433485304	0.00108729767062362703	1	-1221.47669520469822	11.3381735865127347	0.0303715340820328132	1	0.5	0.00530003447007275797	0.00261877940297868634	0.00364563619398302133	4	-744.207969454577324	7.78722750834940669	0.00520010535791037756	1	0.5	0.000456399254898310432	0.00105000271100179473	0.000782894604357341857	5	-2005.07950159040092	10.816116337084523	0.0113472659011519331	1	0.5	0.00583349554667973117	0.00152841975861353683	0.00368213709590653644
900	-13997.2107680848276	53.5624777580140048	4	7.5	0	-3597.02457336904172	-5.2287615252364894	0.00845486477441262201	1	0.5	0.0020968316616232132	0.0174525254522697078	0.0141358141460820267	1	-3795.69564406987683	6.69673434962303915	0.0259671614818130919	1	0.5	0.00628010788954477556	0.0112395934246767946	0.00919643864676890008	2	-972.945066608927618	10.8010963446530432	0.0179229149664393676	1	0.5	0.00344355864085341178	0.000960050926506603262	0.00219476031938288822	0	-1211.21716269064041	8.42870699783012256	0.00845486477441262201	1	0.5	0.000655025263140967184	0.00117803578082454588	0.00100919140297221874	3	-451.668338069359436	8.97162377274103662	0.00522553007243827059	1	0.5	0.000848433177393214592	0.00087434391146835671	0.000832130953069363708	1	-1221.11283226007413	4.49979788897484312	0.0259671614818130919	1	0.5	0.00658321812354505011	0.00273525661127109248	0.00648762495425687317	0	-744.062023219815046	6.89280208362169589	0.00845486477441262201	1	0.5	0.000402135967469660453	0.000936538053893145694	0.000728499174541360822	0	-2003.48512779709336	8.98802293432445154	0.00845486477441262201	1	0.5	0.00624731814296503388	0.0013283085111702557	0.00441750845316531745
950	-14010.7426903743326	69.9588544221555964	5	7.5	0	-3603.63397388500016	-0.583333378858881701	0.0108020954940158866	1	0.5	0.00251609017464188983	0.0190526119194372352	0.0131139326688622156	1	-3796.39344408306806	4.65856571172968259	0.0208220450310180535	1	0.5	0.00644850765763221347	0.00981224115431104937	0.0102510887834331502	1	-973.609396842538899	10.3574009783774095	0.0208220450310180535	1	0.5	0.00444892092324389397	0.00117034488070605997	0.00309719894701335294	2	-1212.95674300405244	10.1411058229205544	0.00885040565749547342	1	0.5	0.000926609765575859006	0.00150078650711472678	0.00116746921062682281	3	-455.513313113324045	10.5622657476190369	0.00506007465550100104	1	0.5	0.00198712819679589415	0.000941265871872881774	0.00146764338870189665	4	-1221.21926163386524	11.3167481837721695	0.0341992961966591791	1	0.5	0.00578745126900846295	0.00256718810662682128	0.00401354812938577426	3	-743.770612851645183	7.716364011208249	0.00506007465550100104	1	0.5	0.000506463531063206505	0.000860244985048411355	0.000656500007062941885	0	-2003.64594496083737	9.66531327056145173	0.0108020954940158866	1	0.5	0.00627490344218838408	0.00138103758856047282	0.00428444045641965861
