generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler4	7224	4416	1	0.0285714	1.22022	
RootPopulationSizeScaler5	5764	5832	1	0.0285714	0.310791	
LeafPopulationSizeScaler5	6045	5500	1	0.0285714	0.546817	
RootPopulationSizeScaler6	5622	5984	1	0.0285714	0.323657	
LeafPopulationSizeScaler6	8152	3403	1	0.0285714	0.804881	
RootPopulationSizeScaler7	5791	5799	1	0.0285714	0.285949	
LeafPopulationSizeScaler7	6293	5312	1	0.0285714	0.661164	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	14333	0	10	0.285714	none	
TimeSizeRateMixer	23136	19497	5	0.142857	0.205833	
TimeRootSizeMixer	11885	13355	3	0.0857143	0.234977	
EventTimeScaler	83298	78000	1	0.0285714	0.559007	
RootPopulationSizeScaler0	5938	6904	1	0.0285714	0.226948	
LeafPopulationSizeScaler0	6952	5854	1	0.0285714	0.259599	
RootPopulationSizeScaler1	6134	6685	1	0.0285714	0.292535	
LeafPopulationSizeScaler1	6435	6446	1	0.0285714	0.331715	
RootPopulationSizeScaler2	6217	6640	1	0.0285714	0.323909	
LeafPopulationSizeScaler2	6931	5932	1	0.0285714	0.687092	
RootPopulationSizeScaler3	6364	6527	1	0.0285714	0.317546	
LeafPopulationSizeScaler3	8430	4445	1	0.0285714	0.560579	
RootPopulationSizeScaler4	6183	6664	1	0.0285714	0.321958	
LeafPopulationSizeScaler4	7933	4959	1	0.0285714	1.2361	
RootPopulationSizeScaler5	6378	6493	1	0.0285714	0.311941	
LeafPopulationSizeScaler5	6668	6112	1	0.0285714	0.55035	
RootPopulationSizeScaler6	6203	6652	1	0.0285714	0.324505	
LeafPopulationSizeScaler6	8939	3877	1	0.0285714	0.821329	
RootPopulationSizeScaler7	6396	6457	1	0.0285714	0.287192	
LeafPopulationSizeScaler7	6926	5932	1	0.0285714	0.665473	
generation 55000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15707	0	10	0.285714	none	
TimeSizeRateMixer	25461	21627	5	0.142857	0.207313	
TimeRootSizeMixer	13178	14851	3	0.0857143	0.235498	
EventTimeScaler	91265	86187	1	0.0285714	0.561844	
RootPopulationSizeScaler0	6505	7684	1	0.0285714	0.226657	
LeafPopulationSizeScaler0	7622	6518	1	0.0285714	0.261326	
RootPopulationSizeScaler1	6732	7422	1	0.0285714	0.292881	
LeafPopulationSizeScaler1	7038	7175	1	0.0285714	0.332757	
RootPopulationSizeScaler2	6807	7386	1	0.0285714	0.324098	
LeafPopulationSizeScaler2	7631	6579	1	0.0285714	0.693147	
RootPopulationSizeScaler3	6989	7254	1	0.0285714	0.318498	
LeafPopulationSizeScaler3	9245	4955	1	0.0285714	0.56993	
RootPopulationSizeScaler4	6823	7360	1	0.0285714	0.322762	
LeafPopulationSizeScaler4	8699	5549	1	0.0285714	1.25072	
RootPopulationSizeScaler5	7037	7168	1	0.0285714	0.313061	
LeafPopulationSizeScaler5	7317	6795	1	0.0285714	0.552797	
RootPopulationSizeScaler6	6846	7334	1	0.0285714	0.325394	
LeafPopulationSizeScaler6	9806	4351	1	0.0285714	0.837769	
RootPopulationSizeScaler7	7037	7158	1	0.0285714	0.288061	
LeafPopulationSizeScaler7	7587	6607	1	0.0285714	0.669908	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	17148	0	10	0.285714	none	
TimeSizeRateMixer	27532	23646	5	0.142857	0.20839	
TimeRootSizeMixer	14337	16212	3	0.0857143	0.235976	
EventTimeScaler	98973	94475	1	0.0285714	0.563886	
RootPopulationSizeScaler0	7045	8400	1	0.0285714	0.226642	
LeafPopulationSizeScaler0	8248	7165	1	0.0285714	0.262268	
RootPopulationSizeScaler1	7321	8113	1	0.0285714	0.293336	
LeafPopulationSizeScaler1	7640	7816	1	0.0285714	0.33394	
RootPopulationSizeScaler2	7395	8050	1	0.0285714	0.324743	
LeafPopulationSizeScaler2	8245	7204	1	0.0285714	0.696967	
RootPopulationSizeScaler3	7580	7921	1	0.0285714	0.319383	
LeafPopulationSizeScaler3	10031	5460	1	0.0285714	0.577948	
RootPopulationSizeScaler4	7398	8043	1	0.0285714	0.323403	
LeafPopulationSizeScaler4	9409	6119	1	0.0285714	1.26298	
RootPopulationSizeScaler5	7609	7850	1	0.0285714	0.313819	
LeafPopulationSizeScaler5	7946	7438	1	0.0285714	0.555004	
RootPopulationSizeScaler6	7441	8035	1	0.0285714	0.326077	
LeafPopulationSizeScaler6	10588	4854	1	0.0285714	0.850126	
RootPopulationSizeScaler7	7660	7789	1	0.0285714	0.289478	
LeafPopulationSizeScaler7	8243	7214	1	0.0285714	0.673839	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18585	0	10	0.285714	none	
TimeSizeRateMixer	29808	25829	5	0.142857	0.209666	
TimeRootSizeMixer	15465	17573	3	0.0857143	0.236424	
EventTimeScaler	106901	102792	1	0.0285714	0.566131	
RootPopulationSizeScaler0	7637	9110	1	0.0285714	0.226988	
LeafPopulationSizeScaler0	8919	7804	1	0.0285714	0.26376	
RootPopulationSizeScaler1	7925	8827	1	0.0285714	0.294056	
LeafPopulationSizeScaler1	8240	8518	1	0.0285714	0.334674	
RootPopulationSizeScaler2	7997	8744	1	0.0285714	0.325545	
LeafPopulationSizeScaler2	8928	7828	1	0.0285714	0.700939	
RootPopulationSizeScaler3	8189	8629	1	0.0285714	0.319879	
LeafPopulationSizeScaler3	10774	6016	1	0.0285714	0.58469	
RootPopulationSizeScaler4	7988	8764	1	0.0285714	0.323733	
LeafPopulationSizeScaler4	10143	6702	1	0.0285714	1.2753	
RootPopulationSizeScaler5	8197	8569	1	0.0285714	0.314272	
LeafPopulationSizeScaler5	8574	8109	1	0.0285714	0.557327	
RootPopulationSizeScaler6	8065	8720	1	0.0285714	0.326862	
LeafPopulationSizeScaler6	11412	5353	1	0.0285714	0.862829	
RootPopulationSizeScaler7	8280	8480	1	0.0285714	0.28995	
LeafPopulationSizeScaler7	8910	7855	1	0.0285714	0.677956	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20005	0	10	0.285714	none	
TimeSizeRateMixer	31991	28077	5	0.142857	0.210627	
TimeRootSizeMixer	16677	18950	3	0.0857143	0.236869	
EventTimeScaler	114867	111274	1	0.0285714	0.568112	
RootPopulationSizeScaler0	8200	9857	1	0.0285714	0.227088	
LeafPopulationSizeScaler0	9621	8427	1	0.0285714	0.265459	
RootPopulationSizeScaler1	8531	9541	1	0.0285714	0.294732	
LeafPopulationSizeScaler1	8873	9219	1	0.0285714	0.335393	
RootPopulationSizeScaler2	8599	9457	1	0.0285714	0.326	
LeafPopulationSizeScaler2	9611	8479	1	0.0285714	0.704207	
RootPopulationSizeScaler3	8798	9358	1	0.0285714	0.320496	
LeafPopulationSizeScaler3	11531	6579	1	0.0285714	0.590609	
RootPopulationSizeScaler4	8614	9442	1	0.0285714	0.324514	
LeafPopulationSizeScaler4	10879	7289	1	0.0285714	1.2863	
RootPopulationSizeScaler5	8814	9268	1	0.0285714	0.314787	
LeafPopulationSizeScaler5	9222	8771	1	0.0285714	0.559784	
RootPopulationSizeScaler6	8670	9462	1	0.0285714	0.327375	
LeafPopulationSizeScaler6	12232	5850	1	0.0285714	0.875009	
RootPopulationSizeScaler7	8920	9159	1	0.0285714	0.290931	
LeafPopulationSizeScaler7	9603	8489	1	0.0285714	0.681915	
generation 75000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	21420	0	10	0.285714	none	
TimeSizeRateMixer	34235	30279	5	0.142857	0.211501	
TimeRootSizeMixer	17864	20310	3	0.0857143	0.237263	
EventTimeScaler	122932	119550	1	0.0285714	0.570132	
RootPopulationSizeScaler0	8753	10603	1	0.0285714	0.226961	
LeafPopulationSizeScaler0	10297	9066	1	0.0285714	0.266785	
RootPopulationSizeScaler1	9115	10272	1	0.0285714	0.295097	
LeafPopulationSizeScaler1	9471	9909	1	0.0285714	0.33632	
RootPopulationSizeScaler2	9196	10153	1	0.0285714	0.326651	
LeafPopulationSizeScaler2	10235	9148	1	0.0285714	0.707228	
RootPopulationSizeScaler3	9416	10064	1	0.0285714	0.320934	
LeafPopulationSizeScaler3	12303	7121	1	0.0285714	0.596446	
RootPopulationSizeScaler4	9200	10156	1	0.0285714	0.325229	
LeafPopulationSizeScaler4	11550	7906	1	0.0285714	1.29301	
RootPopulationSizeScaler5	9445	9958	1	0.0285714	0.315578	
LeafPopulationSizeScaler5	9878	9413	1	0.0285714	0.561863	
RootPopulationSizeScaler6	9293	10139	1	0.0285714	0.328148	
LeafPopulationSizeScaler6	13051	6337	1	0.0285714	0.88598	
RootPopulationSizeScaler7	9569	9815	1	0.0285714	0.29188	
LeafPopulationSizeScaler7	10272	9139	1	0.0285714	0.684727	
