generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	17596	0	10	0.322581	none	
TimeSizeRateMixer	23010	21928	5	0.16129	0.240618	
TimeRootSizeMixer	12832	14455	3	0.0967742	0.276231	
EventTimeScaler	87711	82604	1	0.0322581	0.587885	
RootPopulationSizeScaler0	7785	8378	1	0.0322581	0.326684	
LeafPopulationSizeScaler0	9341	6831	1	0.0322581	0.992752	
RootPopulationSizeScaler1	7491	8619	1	0.0322581	0.277234	
LeafPopulationSizeScaler1	7548	8563	1	0.0322581	0.334847	
RootPopulationSizeScaler2	7710	8366	1	0.0322581	0.318341	
LeafPopulationSizeScaler2	9898	6250	1	0.0322581	0.758085	
RootPopulationSizeScaler3	7718	8417	1	0.0322581	0.317834	
LeafPopulationSizeScaler3	9777	6329	1	0.0322581	1.14187	
RootPopulationSizeScaler4	7765	8402	1	0.0322581	0.317396	
LeafPopulationSizeScaler4	9182	6994	1	0.0322581	0.612184	
RootPopulationSizeScaler5	7931	8178	1	0.0322581	0.309828	
LeafPopulationSizeScaler5	9432	6636	1	0.0322581	0.88986	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	19222	0	10	0.322581	none	
TimeSizeRateMixer	24900	23907	5	0.16129	0.241441	
TimeRootSizeMixer	13884	15788	3	0.0967742	0.276436	
EventTimeScaler	95061	90365	1	0.0322581	0.590308	
RootPopulationSizeScaler0	8432	9148	1	0.0322581	0.327033	
LeafPopulationSizeScaler0	10139	7470	1	0.0322581	1.00276	
RootPopulationSizeScaler1	8120	9404	1	0.0322581	0.277359	
LeafPopulationSizeScaler1	8207	9346	1	0.0322581	0.335466	
RootPopulationSizeScaler2	8358	9147	1	0.0322581	0.319012	
LeafPopulationSizeScaler2	10673	6912	1	0.0322581	0.764747	
RootPopulationSizeScaler3	8401	9159	1	0.0322581	0.318782	
LeafPopulationSizeScaler3	10569	6957	1	0.0322581	1.15326	
RootPopulationSizeScaler4	8429	9153	1	0.0322581	0.318269	
LeafPopulationSizeScaler4	9916	7674	1	0.0322581	0.616045	
RootPopulationSizeScaler5	8594	8931	1	0.0322581	0.31039	
LeafPopulationSizeScaler5	10245	7260	1	0.0322581	0.898305	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20847	0	10	0.322581	none	
TimeSizeRateMixer	26996	26024	5	0.16129	0.242586	
TimeRootSizeMixer	15028	17157	3	0.0967742	0.276824	
EventTimeScaler	102748	98488	1	0.0322581	0.592558	
RootPopulationSizeScaler0	9137	9931	1	0.0322581	0.327541	
LeafPopulationSizeScaler0	10964	8116	1	0.0322581	1.01232	
RootPopulationSizeScaler1	8809	10196	1	0.0322581	0.277966	
LeafPopulationSizeScaler1	8901	10145	1	0.0322581	0.336113	
RootPopulationSizeScaler2	9068	9936	1	0.0322581	0.319698	
LeafPopulationSizeScaler2	11502	7556	1	0.0322581	0.771359	
RootPopulationSizeScaler3	9073	9948	1	0.0322581	0.319415	
LeafPopulationSizeScaler3	11384	7619	1	0.0322581	1.16391	
RootPopulationSizeScaler4	9129	9933	1	0.0322581	0.318863	
LeafPopulationSizeScaler4	10691	8384	1	0.0322581	0.620626	
RootPopulationSizeScaler5	9290	9732	1	0.0322581	0.31095	
LeafPopulationSizeScaler5	11031	7940	1	0.0322581	0.905656	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	22480	0	10	0.322581	none	
TimeSizeRateMixer	28964	28078	5	0.16129	0.243397	
TimeRootSizeMixer	16259	18562	3	0.0967742	0.277311	
EventTimeScaler	110210	106620	1	0.0322581	0.594278	
RootPopulationSizeScaler0	9818	10728	1	0.0322581	0.327948	
LeafPopulationSizeScaler0	11749	8808	1	0.0322581	1.01998	
RootPopulationSizeScaler1	9465	11020	1	0.0322581	0.278131	
LeafPopulationSizeScaler1	9558	10965	1	0.0322581	0.33651	
RootPopulationSizeScaler2	9745	10712	1	0.0322581	0.320366	
LeafPopulationSizeScaler2	12348	8197	1	0.0322581	0.777862	
RootPopulationSizeScaler3	9798	10709	1	0.0322581	0.320499	
LeafPopulationSizeScaler3	12169	8315	1	0.0322581	1.17235	
RootPopulationSizeScaler4	9818	10734	1	0.0322581	0.319334	
LeafPopulationSizeScaler4	11451	9093	1	0.0322581	0.623962	
RootPopulationSizeScaler5	9993	10520	1	0.0322581	0.311609	
LeafPopulationSizeScaler5	11818	8617	1	0.0322581	0.912867	
generation 75000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	24090	0	10	0.322581	none	
