generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_W5	ln_likelihood_W5	ln_prior_W5	root_height_W5	mutation_rate_W5	freq_1_W5	pop_size_W5	pop_size_E5	pop_size_root_W5
1100	-6375.68051799139721	29.5036199139216393	3	7.5	0	-1406.71309397798859	11.4788050174369864	0.0469414386443216397	1	0.5	0.00191606135647645571	0.00416365648321354899	0.00324626295111996163	1	-3842.32557435176386	2.99950787499650318	0.00801820897039665602	1	0.5	0.0126052666969744438	0.00527454127551888786	0.0113492882611252264	2	-1126.64184966164453	8.76629922705625475	0.016989860810423113	1	0.5	0.00546393132975893109	0.000656738699120378369	0.00271721431378933818
1150	-6374.48722754575465	25.9066768360471293	3	7.5	0	-1407.15057301712363	11.8204853916126815	0.0495579055327838788	1	0.5	0.0027671054881601158	0.00439822526343386193	0.00336748162140843152	1	-3840.11390068315677	-1.55358451592112345	0.00857001765679055866	1	0.5	0.0112325345558774367	0.00560691601912551279	0.0123507309156218395	2	-1127.22275384547447	9.09540557731724419	0.0109679593495026692	1	0.5	0.00484323495001372055	0.000584909107847842737	0.00251171257506533924
1200	-6376.37169976705627	24.6334500579979476	3	7.5	0	-1410.50649175548619	12.1489497829608766	0.0606804036525815105	1	0.5	0.00350570602226039961	0.0029172730249048223	0.00324842627002890072	1	-3839.97136037283781	-1.13558439776142706	0.0101883419431300533	1	0.5	0.01408270878236614	0.00568136006868069296	0.0136438478450392094	2	-1125.8938476387325	8.98514928767418652	0.01732148692250568	1	0.5	0.00440016396814881666	0.00048252453096393641	0.00245270473214851065
1250	-6371.64374917452733	24.1672715515487795	3	7.5	0	-1405.61078873244992	10.9974795570024071	0.0585338525884987818	1	0.5	0.00197153117140221219	0.00440662807960932098	0.00278915659249160406	1	-3840.37171016961111	-0.630817811158021158	0.00869824610257898673	1	0.5	0.0159570022895097613	0.0040757966111152821	0.0133102108602645014	2	-1125.6612502724663	8.67270519546952556	0.0160284415760339471	1	0.5	0.0044515163061283787	0.000459173704932288056	0.0022866800367964458
1300	-6375.8114069363528	22.0935212281602631	2	7.5	0	-1405.74476920373922	10.8718203668387723	0.0544753797558770042	1	0.5	0.00238899876549214388	0.00422420634645055432	0.00377867518240510188	1	-3842.87710364020541	1.97337651723500329	0.0103553293983816644	1	0.5	0.0159817314458010201	0.00582777176513655289	0.0127425839702429329	1	-1127.18953409240817	8.89750982909667698	0.0103553293983816644	1	0.5	0.00539050645172869589	0.000543025696225981746	0.00289372608903472328
1350	-6374.79113156759013	28.5103021051874137	3	7.5	0	-1406.0431857366641	11.7111554514019787	0.0579593335607229906	1	0.5	0.00248473086948880224	0.00460030834232333808	0.00369167819591407391	1	-3841.25230273749867	1.95537807239456995	0.00983313754758068613	1	0.5	0.0139750173362304282	0.00552556002517244627	0.0123210641810368327	2	-1127.49564309342759	9.35785760897700669	0.0118880055370181141	1	0.5	0.00404799441069988997	0.00075394704445906212	0.00269359084800847078
1400	-6373.28328692431933	24.7969552932260235	3	7.5	0	-1406.07799014341117	11.4597345749963431	0.0605263883560824903	1	0.5	0.00178037245133369363	0.0047046043962353911	0.00310792484729815067	1	-3840.92204626412786	1.81335782709187043	0.00842064721634415946	1	0.5	0.0122390615030988931	0.0048380646542147028	0.0114226873299684457	2	-1126.28325051678121	6.4366092136875217	0.0147200140225308054	1	0.5	0.00368842199424915251	0.000543967254888736004	0.00265794830325445826
1450	-6378.39091389706755	27.5205495532110653	3	7.5	0	-1409.45210789801331	9.47687740387991795	0.0510014504902136651	1	0.5	0.000920389248355103708	0.00476191600425654015	0.00245153296871535335	1	-3842.30430498009628	2.42636206592131032	0.00715924341484929731	1	0.5	0.013036780590158956	0.00382251843100161245	0.0109688716845296203	2	-1126.63450101895819	9.64367544144113253	0.0166425460447103928	1	0.5	0.00427675057111536611	0.00067181537209156034	0.00229943223320459031
1500	-6372.98319116176299	26.5848332629175239	3	7.5	0	-1406.83012002446526	10.5324377390217663	0.0505375026940522373	1	0.5	0.00140392730661564207	0.00398350146825998414	0.00232974788761094705	1	-3839.36447577535773	0.0923630869442639835	0.00705068263780150167	1	0.5	0.0129777732934890123	0.00409105764313542116	0.0118541718153763066	2	-1126.78859536193977	9.65012097641002597	0.0138522864321919369	1	0.5	0.00358597381705511769	0.000582561379084507161	0.00209474938027813355
1550	-6385.47518935568678	29.6956285151388535	3	7.5	0	-1412.63892795686093	11.6067862658313921	0.0434374537854058801	1	0.5	0.00368778648342084694	0.0051410955560340062	0.00443586228296908008	1	-3844.73640736604239	2.72375599879202568	0.00891252991002037566	1	0.5	0.0171834144328729815	0.0045471343768057294	0.011524475910169172	2	-1128.09985403278347	8.75144340666514609	0.0160531742355312194	1	0.5	0.00668827005013397473	0.000751796568788697345	0.00396341455805769832
