generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler0	9616	8945	1	0.0344828	0.628478	
RootPopulationSizeScaler1	9149	9499	1	0.0344828	0.309325	
LeafPopulationSizeScaler1	10271	8332	1	0.0344828	0.837045	
RootPopulationSizeScaler2	9340	9179	1	0.0344828	0.281737	
LeafPopulationSizeScaler2	9789	8820	1	0.0344828	0.551269	
RootPopulationSizeScaler3	8902	9673	1	0.0344828	0.327103	
LeafPopulationSizeScaler3	11855	6816	1	0.0344828	0.880626	
RootPopulationSizeScaler4	9138	9494	1	0.0344828	0.282732	
LeafPopulationSizeScaler4	9369	9248	1	0.0344828	0.495247	
generation 65000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	22477	0	10	0.344828	none	
TimeSizeRateMixer	25567	26830	5	0.172414	0.254308	
TimeRootSizeMixer	14794	17477	3	0.103448	0.276355	
EventTimeScaler	99838	101326	1	0.0344828	0.514939	
RootPopulationSizeScaler0	9636	10570	1	0.0344828	0.323708	
LeafPopulationSizeScaler0	10361	9754	1	0.0344828	0.631322	
RootPopulationSizeScaler1	9907	10325	1	0.0344828	0.310383	
LeafPopulationSizeScaler1	11072	9086	1	0.0344828	0.841983	
RootPopulationSizeScaler2	10135	9957	1	0.0344828	0.282994	
LeafPopulationSizeScaler2	10537	9637	1	0.0344828	0.552642	
RootPopulationSizeScaler3	9621	10503	1	0.0344828	0.327839	
LeafPopulationSizeScaler3	12720	7501	1	0.0344828	0.889419	
RootPopulationSizeScaler4	9874	10325	1	0.0344828	0.283269	
LeafPopulationSizeScaler4	10123	10069	1	0.0344828	0.496805	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	24194	0	10	0.344828	none	
TimeSizeRateMixer	27376	28977	5	0.172414	0.254721	
TimeRootSizeMixer	15897	18907	3	0.103448	0.276172	
EventTimeScaler	107215	109254	1	0.0344828	0.516475	
RootPopulationSizeScaler0	10333	11424	1	0.0344828	0.324195	
LeafPopulationSizeScaler0	11104	10541	1	0.0344828	0.633279	
RootPopulationSizeScaler1	10629	11163	1	0.0344828	0.311144	
LeafPopulationSizeScaler1	11832	9850	1	0.0344828	0.845999	
