generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_W1	ln_likelihood_W1	ln_prior_W1	root_height_W1	mutation_rate_W1	freq_1_W1	pop_size_W1	pop_size_E1	pop_size_root_W1	root_height_index_W2	ln_likelihood_W2	ln_prior_W2	root_height_W2	mutation_rate_W2	freq_1_W2	pop_size_W2	pop_size_E2	pop_size_root_W2	root_height_index_E3	ln_likelihood_E3	ln_prior_E3	root_height_E3	mutation_rate_E3	freq_1_E3	pop_size_E3	pop_size_W3	pop_size_root_E3	root_height_index_E4	ln_likelihood_E4	ln_prior_E4	root_height_E4	mutation_rate_E4	freq_1_E4	pop_size_E4	pop_size_W4	pop_size_root_E4	root_height_index_W6	ln_likelihood_W6	ln_prior_W6	root_height_W6	mutation_rate_W6	freq_1_W6	pop_size_W6	pop_size_E6	pop_size_root_W6
1000	-6791.96235688725119	61.8960715513354742	5	7.5	0	-1158.0069661400521	12.0679147925728749	0.0522476566979105592	1	0.5	0.00380615612746972986	0.00266761287143641845	0.00328609893977393043	1	-1242.61306258664786	9.6815172670631604	0.00203140595757876369	1	0.5	0.0021050490698497383	0.00132466717508543798	0.00141175432701712853	2	-2220.34653965731468	7.85997388702802269	0.0038185626598799048	1	0.5	0.00972217918352403891	0.00144516458228297648	0.00498024885774628941	3	-856.644601919751267	10.4389705408653271	0.034777101855834068	1	0.5	0.00177805510171061146	0.00125223276494947945	0.00134713042493005207	4	-1314.35118658348506	10.1165237689780909	0.00881738745525730699	1	0.5	0.00375258029206630966	0.00699531473298334056	0.00590548361239357725
1050	-6776.53252474470264	55.0510995423819622	5	7.5	0	-1152.52813638911994	12.074132228549967	0.0691069477373592866	1	0.5	0.00284125374693597896	0.00379660894157862576	0.00338340914270527857	1	-1237.36573083762164	8.9939580036681086	0.00174638206180726405	1	0.5	0.00220171840679597676	0.000582454935684948837	0.00153386322688015019	2	-2219.29261122366916	7.43631530525881246	0.00244207415628251451	1	0.5	0.00918407638786523234	0.000822307563648408207	0.00530806565518371441	3	-852.275434338245532	7.28329858418168641	0.0474678954705962386	1	0.5	0.00104265350606554878	0.000641062198574267458	0.000984018012073522436	4	-1315.0706119560466	10.4143046712194405	0.00974962065365585565	1	0.5	0.00463029145521793011	0.00621020273701268066	0.00588887666075004791
1100	-6772.79192875474655	54.1519114999801658	5	7.5	0	-1152.99375850881711	11.0303061184022262	0.062751600235619695	1	0.5	0.0029641844416681655	0.00351002843870970018	0.00371645040819738827	1	-1237.71183171003236	9.10060745320756226	0.00210963852572582794	1	0.5	0.00184236872973889262	0.000542750286876404406	0.0012431159127861966	2	-2219.22630377205815	7.27173525139808419	0.00284326374836347054	1	0.5	0.0100510734689156084	0.000980803594319191226	0.00513710420318946696	3	-850.649973596965424	8.21329325817129785	0.0326238351906317642	1	0.5	0.000685056572699979855	0.000808679458148662427	0.000779563171809401494	4	-1312.21006116687317	7.44226761381870006	0.00773847182457696771	1	0.5	0.00338129192800374354	0.00576578467332811932	0.00592828070719050772
1150	-6771.6589436312106	54.7046023321601069	5	7.5	0	-1151.52161468825875	12.0765865931025935	0.0733688949950569852	1	0.5	0.00219961519198227061	0.00287514031200624331	0.00252645191917531863	1	-1238.39818312136617	9.80354443146984877	0.00277604394184019368	1	0.5	0.00158182064044252329	0.000755953214472190296	0.00117739499128959014	2	-2219.95220983963145	8.47129717341915267	0.00282216323827447473	1	0.5	0.00902838621788397758	0.00115831703979164054	0.00499809916204337068	3	-849.369653000002927	7.77532425447652287	0.0378565800891969215	1	0.5	0.00045471613212052386	0.00111153280425142038	0.000829495319403297619	4	-1312.41728298195153	6.98097635097423819	0.00621141002319454405	1	0.5	0.00325173315627986766	0.00586316640400577106	0.00598794901560269384
1200	-6783.1600974867697	55.9630054221306423	5	7.5	0	-1152.75066432751919	11.3050933992452372	0.0636214762396300898	1	0.5	0.00184681958836559581	0.0036070581243297312	0.00299430368257223726	1	-1241.86690488267936	6.29199671968537544	0.0028064490679143789	1	0.5	0.00274291876644821046	0.00117603588701641905	0.00139069122281977771	2	-2222.39077527663039	9.4733959819886131	0.0041117634300580283	1	0.5	0.00750232725489270117	0.00158692748744760303	0.00406702697517379464	3	-849.882353514246461	8.51302916909332552	0.0361962405814009944	1	0.5	0.000598714711270728595	0.0010242018073498625	0.000788675457878159291	4	-1316.26939948569452	10.0187397813076444	0.00866039454763274999	1	0.5	0.00550282182738128997	0.0059475640513641289	0.00632363523999000289
1250	-6784.50628402276197	55.1322334502425377	4	7.5	0	-1156.95821864988829	11.7711265142973325	0.0541174207776756386	1	0.5	0.00259136559044575868	0.00448676879016861319	0.00368667675730100907	1	-1239.11249153619019	10.0057362266217744	0.00196890753354382522	1	0.5	0.00189348325105889075	0.000919188923916616535	0.00153143571849022374	2	-2223.80319039789038	9.98592031766968447	0.00325207855971232753	1	0.5	0.00635265012927916078	0.00110566333282764587	0.00377296151412662498	0	-851.939917188942104	7.9196802524042198	0.0541174207776756386	1	0.5	0.000534322194925919208	0.000941628459935950888	0.000773391031082219923	3	-1312.6924662498518	6.80105629280776824	0.00697755017408781437	1	0.5	0.00419172990311164097	0.00508736144279847008	0.00616095327804258922
1300	-6780.24623390652232	56.6842955851664172	5	7.5	0	-1151.96408928809228	11.0383903295180872	0.0670460582679160422	1	0.5	0.00196826010285068229	0.00337728440861139682	0.00302304545191246906	1	-1239.76042814012885	9.1089068943025282	0.00316110904061662167	1	0.5	0.0017053858475727672	0.000555664696721924604	0.00116720480083424812	2	-2220.59609590650689	8.89096291121656179	0.00333939330912578136	1	0.5	0.0082784367749084882	0.0012148842474327369	0.00497183333541319911	3	-852.285439723339437	9.73208973727911797	0.0425933905450776862	1	0.5	0.000828740525033008616	0.00148748458695483355	0.00107532498513384159	4	-1315.64018084845407	8.2316849814319859	0.00604126909782319414	1	0.5	0.00297808817764910836	0.00911795766212642259	0.00696737093245146724
1350	-6783.80484817159777	58.166642596916482	5	7.5	0	-1153.56078783379417	11.7554641533036417	0.0624308200544579708	1	0.5	0.00329579858998159218	0.00269860024796454018	0.0032511063746725956	1	-1239.36277339739922	10.1700104957265012	0.00277953001647949149	1	0.5	0.00174460454063383509	0.000966978449261280478	0.00145074477536881376	2	-2226.43182592523317	10.161360245856681	0.00303480682690137216	1	0.5	0.00741629666179732458	0.00254450664643491621	0.0045503275623540668	3	-851.014586113456971	7.27663170208313659	0.0303456260174330555	1	0.5	0.000545796651212079788	0.000843823379003541822	0.000613287559676147886	4	-1313.43487490171469	7.45832820338082669	0.00696456669381182499	1	0.5	0.00334950900996936179	0.00438164199717176479	0.00509784942778446735
1400	-6782.05364861724956	58.0090352752192757	5	7.5	0	-1153.81992556822252	11.4723099108806608	0.0692712591242493764	1	0.5	0.00342147343246157866	0.00224988824289269708	0.00312757020009003187	1	-1240.10666406185555	10.2875295623823995	0.0014602612377231977	1	0.5	0.00283620734481395678	0.000799012812804516495	0.001900773306114459	2	-2221.54214715346006	9.19481820005346151	0.00390861703770440782	1	0.5	0.00816069221995746087	0.00143753869479427737	0.00507006276710733356	3	-853.217521116155808	7.54139876244918028	0.0286015797223759735	1	0.5	0.000318136750445118812	0.00150077557364771829	0.000926726763299916983	4	-1313.36739071755665	8.63044810153330744	0.00693680307348499506	1	0.5	0.00275344760901677626	0.00663172999056286724	0.00572485196736689274
1450	-6780.14047379241674	58.6620375838199664	5	7.5	0	-1151.90551612678564	11.6055165414469705	0.0708382634925462384	1	0.5	0.00216367470217226129	0.00252199286943576278	0.0025394495083774127	1	-1239.38398744154847	8.83584535732194709	0.00337792479534748105	1	0.5	0.00170575862756132879	0.000735082303664749562	0.00139022189994957067	2	-2221.073442111845	8.83358947770393499	0.00283999019400061302	1	0.5	0.00806984882087241097	0.00127573340039948812	0.00507371038599009703	3	-850.194813969693655	8.05160758256503328	0.037170292079738744	1	0.5	0.000412775579557667365	0.00136709404623933301	0.0009150301095430625	4	-1317.58271414254432	11.5260830468264714	0.00668340123355142934	1	0.5	0.0042899603738579227	0.00425070938344725754	0.00454341881106160809
