generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler9	3092	2656	1	0.0212766	0.284877	
LeafPopulationSizeScaler9	3829	1943	1	0.0212766	0.83222	
RootPopulationSizeScaler10	2961	2811	1	0.0212766	0.299251	
LeafPopulationSizeScaler10	4396	1298	1	0.0212766	0.577684	
RootPopulationSizeScaler11	2914	2867	1	0.0212766	0.303606	
LeafPopulationSizeScaler11	3514	2209	1	0.0212766	0.693964	
RootPopulationSizeScaler12	2845	2847	1	0.0212766	0.313037	
LeafPopulationSizeScaler12	3542	2208	1	0.0212766	0.595761	
RootPopulationSizeScaler13	2923	2838	1	0.0212766	0.299183	
LeafPopulationSizeScaler13	3733	2039	1	0.0212766	0.671724	
generation 35000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7389	0	10	0.212766	none	
TimeSizeRateMixer	14674	13326	5	0.106383	0.194049	
TimeRootSizeMixer	8098	8718	3	0.0638298	0.172567	
EventTimeScaler	56082	50137	1	0.0212766	0.448675	
RootPopulationSizeScaler0	3306	3365	1	0.0212766	0.32139	
LeafPopulationSizeScaler0	4443	2220	1	0.0212766	1.15862	
RootPopulationSizeScaler1	3592	3078	1	0.0212766	0.291376	
LeafPopulationSizeScaler1	3950	2742	1	0.0212766	0.552681	
RootPopulationSizeScaler2	3415	3282	1	0.0212766	0.267977	
LeafPopulationSizeScaler2	3583	3091	1	0.0212766	0.454646	
RootPopulationSizeScaler3	3284	3441	1	0.0212766	0.312713	
LeafPopulationSizeScaler3	3816	2825	1	0.0212766	0.411327	
RootPopulationSizeScaler4	3521	3185	1	0.0212766	0.258862	
LeafPopulationSizeScaler4	3739	2914	1	0.0212766	0.438187	
RootPopulationSizeScaler5	3650	3004	1	0.0212766	0.288017	
LeafPopulationSizeScaler5	4100	2586	1	0.0212766	0.503247	
RootPopulationSizeScaler6	3336	3350	1	0.0212766	0.299926	
LeafPopulationSizeScaler6	4157	2504	1	0.0212766	0.425126	
RootPopulationSizeScaler7	3212	3486	1	0.0212766	0.297469	
LeafPopulationSizeScaler7	3912	2729	1	0.0212766	0.46954	
RootPopulationSizeScaler8	3306	3368	1	0.0212766	0.282998	
LeafPopulationSizeScaler8	3856	2779	1	0.0212766	0.546661	
RootPopulationSizeScaler9	3560	3125	1	0.0212766	0.287266	
LeafPopulationSizeScaler9	4403	2299	1	0.0212766	0.855056	
RootPopulationSizeScaler10	3431	3271	1	0.0212766	0.301673	
LeafPopulationSizeScaler10	5061	1571	1	0.0212766	0.601664	
RootPopulationSizeScaler11	3359	3351	1	0.0212766	0.30586	
LeafPopulationSizeScaler11	4035	2623	1	0.0212766	0.706955	
RootPopulationSizeScaler12	3260	3362	1	0.0212766	0.313319	
LeafPopulationSizeScaler12	4063	2621	1	0.0212766	0.606243	
RootPopulationSizeScaler13	3342	3342	1	0.0212766	0.300387	
