model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,0,0,2,6,3,3,3,6	0.000357143	0.9825	<1e-06	>357.27
0,1,2,3,4,5,0,0,2,6,3,7,3,8	0.000357143	0.982857	<1e-06	>357.27
0,1,2,3,4,5,0,0,6,0,3,3,7,0	0.000357143	0.983214	<1e-06	>357.27
0,1,2,3,4,5,0,2,2,0,6,3,3,0	0.000357143	0.983571	<1e-06	>357.27
0,1,2,3,4,5,0,6,0,7,8,9,3,10	0.000357143	0.983929	2e-06	178.635
0,1,2,3,4,5,0,6,2,6,3,3,3,7	0.000357143	0.984286	<1e-06	>357.27
0,1,2,3,4,5,0,6,6,7,3,3,3,0	0.000357143	0.984643	<1e-06	>357.27
0,1,2,3,4,5,0,6,6,7,3,8,8,9	0.000357143	0.985	<1e-06	>357.27
0,1,2,3,4,5,0,6,7,7,8,9,3,7	0.000357143	0.985357	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,2,2,4,5	0.000357143	0.985714	<1e-06	>357.27
0,1,2,3,4,5,2,2,2,2,3,3,6,2	0.000357143	0.986071	<1e-06	>357.27
0,1,0,2,3,1,0,0,0,0,1,2,2,0	0.000357143	0.986429	<1e-06	>357.27
0,1,2,3,4,5,2,2,6,2,3,3,3,7	0.000357143	0.986786	<1e-06	>357.27
0,1,2,3,4,5,2,2,6,6,3,3,3,6	0.000357143	0.987143	<1e-06	>357.27
0,1,2,3,4,5,2,6,6,6,3,3,3,7	0.000357143	0.9875	<1e-06	>357.27
0,1,2,3,4,5,2,6,6,7,3,3,8,6	0.000357143	0.987857	<1e-06	>357.27
0,1,2,3,4,5,2,6,7,6,3,3,8,9	0.000357143	0.988214	<1e-06	>357.27
0,1,2,3,4,5,2,6,7,7,3,3,3,0	0.000357143	0.988571	<1e-06	>357.27
0,1,2,3,4,5,2,6,7,7,8,3,8,9	0.000357143	0.988929	<1e-06	>357.27
0,1,2,3,4,5,6,0,6,7,8,3,8,9	0.000357143	0.989286	<1e-06	>357.27
0,1,2,3,4,5,6,0,7,2,3,3,3,0	0.000357143	0.989643	<1e-06	>357.27
0,1,2,3,4,5,6,2,0,6,3,3,3,7	0.000357143	0.99	<1e-06	>357.27
0,1,2,3,4,5,6,2,2,2,3,3,3,2	0.000357143	0.990357	<1e-06	>357.27
0,1,2,3,4,5,6,2,6,6,3,3,3,6	0.000357143	0.990714	<1e-06	>357.27
0,1,2,3,4,5,6,2,7,6,8,3,3,7	0.000357143	0.991071	<1e-06	>357.27
0,1,2,3,4,5,6,2,7,8,3,3,3,9	0.000357143	0.991429	<1e-06	>357.27
0,1,2,3,4,5,6,2,7,8,3,9,3,10	0.000357143	0.991786	2e-06	178.635
0,1,2,3,4,5,6,6,0,0,3,3,3,7	0.000357143	0.992143	<1e-06	>357.27
0,1,2,3,4,5,6,6,2,2,3,3,3,7	0.000357143	0.9925	<1e-06	>357.27
0,1,2,3,4,5,6,6,2,6,3,7,3,8	0.000357143	0.992857	<1e-06	>357.27
0,1,2,3,4,5,6,6,2,7,3,3,3,0	0.000357143	0.993214	<1e-06	>357.27
0,1,2,3,4,5,6,6,2,7,3,3,3,8	0.000357143	0.993571	<1e-06	>357.27
0,1,2,3,4,5,6,6,6,6,3,3,3,6	0.000357143	0.993929	<1e-06	>357.27
0,1,2,3,4,5,6,6,6,6,3,3,3,7	0.000357143	0.994286	<1e-06	>357.27
0,1,2,3,4,5,6,6,7,6,3,3,3,8	0.000357143	0.994643	<1e-06	>357.27
0,1,2,3,4,5,6,6,7,6,8,3,3,6	0.000357143	0.995	<1e-06	>357.27
0,1,2,3,4,5,6,6,7,7,8,3,3,9	0.000357143	0.995357	<1e-06	>357.27
0,1,2,3,4,5,6,6,7,8,3,3,3,9	0.000357143	0.995714	<1e-06	>357.27
0,1,2,3,4,5,6,7,0,0,3,3,3,0	0.000357143	0.996071	<1e-06	>357.27
0,1,2,3,4,5,6,7,2,2,3,3,3,6	0.000357143	0.996429	<1e-06	>357.27
0,1,2,3,4,5,6,7,2,2,3,3,3,8	0.000357143	0.996786	<1e-06	>357.27
0,1,0,2,0,1,3,4,5,4,6,6,6,3	0.000357143	0.997143	<1e-06	>357.27
0,1,2,3,4,5,6,7,6,0,3,3,3,8	0.000357143	0.9975	<1e-06	>357.27
0,1,2,3,4,5,6,7,6,6,3,3,8,7	0.000357143	0.997857	<1e-06	>357.27
0,1,2,3,4,5,6,7,7,0,8,3,3,0	0.000357143	0.998214	<1e-06	>357.27
0,1,2,3,4,5,6,7,8,2,3,3,3,8	0.000357143	0.998571	<1e-06	>357.27
0,1,2,3,4,5,6,7,8,2,3,3,3,9	0.000357143	0.998929	<1e-06	>357.27
0,1,2,3,4,5,6,7,8,6,3,3,3,7	0.000357143	0.999286	1e-06	357.27
0,1,2,3,4,5,6,7,8,7,9,9,9,7	0.000357143	0.999643	<1e-06	>357.27
0,1,2,3,4,1,5,5,0,0,6,3,3,0	0.000357143	1	<1e-06	>357.27
