generation 5000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
LeafPopulationSizeScaler5	7288	5386	1	0.0212766	0.534072	
RootPopulationSizeScaler6	6380	6302	1	0.0212766	0.282062	
LeafPopulationSizeScaler6	6918	5782	1	0.0212766	0.530978	
RootPopulationSizeScaler7	6265	6391	1	0.0212766	0.293553	
LeafPopulationSizeScaler7	7241	5434	1	0.0212766	0.485878	
RootPopulationSizeScaler8	6293	6335	1	0.0212766	0.284813	
LeafPopulationSizeScaler8	6748	5920	1	0.0212766	0.592482	
RootPopulationSizeScaler9	6384	6352	1	0.0212766	0.308597	
LeafPopulationSizeScaler9	7476	5142	1	0.0212766	0.964943	
RootPopulationSizeScaler10	6349	6303	1	0.0212766	0.30743	
LeafPopulationSizeScaler10	8938	3665	1	0.0212766	0.69949	
RootPopulationSizeScaler11	6647	6012	1	0.0212766	0.301529	
LeafPopulationSizeScaler11	7351	5211	1	0.0212766	0.741514	
RootPopulationSizeScaler12	6186	6468	1	0.0212766	0.311106	
LeafPopulationSizeScaler12	7107	5483	1	0.0212766	0.650815	
RootPopulationSizeScaler13	6537	6081	1	0.0212766	0.290417	
LeafPopulationSizeScaler13	7610	5019	1	0.0212766	0.745155	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	14776	0	10	0.212766	none	
TimeSizeRateMixer	28464	28771	5	0.106383	0.205094	
TimeRootSizeMixer	15434	18981	3	0.0638298	0.189518	
EventTimeScaler	110287	104254	1	0.0212766	0.464059	
RootPopulationSizeScaler0	6584	7054	1	0.0212766	0.322883	
LeafPopulationSizeScaler0	8078	5557	1	0.0212766	1.42256	
RootPopulationSizeScaler1	6682	6946	1	0.0212766	0.321217	
LeafPopulationSizeScaler1	7040	6573	1	0.0212766	0.646516	
RootPopulationSizeScaler2	6681	6947	1	0.0212766	0.278154	
LeafPopulationSizeScaler2	7110	6549	1	0.0212766	0.476628	
RootPopulationSizeScaler3	6749	6794	1	0.0212766	0.307197	
LeafPopulationSizeScaler3	7822	5739	1	0.0212766	0.412859	
RootPopulationSizeScaler4	6887	6808	1	0.0212766	0.27237	
LeafPopulationSizeScaler4	7285	6340	1	0.0212766	0.468156	
RootPopulationSizeScaler5	6525	7017	1	0.0212766	0.322116	
LeafPopulationSizeScaler5	7821	5812	1	0.0212766	0.538128	
RootPopulationSizeScaler6	6839	6797	1	0.0212766	0.282906	
LeafPopulationSizeScaler6	7427	6233	1	0.0212766	0.534212	
RootPopulationSizeScaler7	6712	6882	1	0.0212766	0.294198	
LeafPopulationSizeScaler7	7737	5906	1	0.0212766	0.488706	
RootPopulationSizeScaler8	6714	6856	1	0.0212766	0.285139	
LeafPopulationSizeScaler8	7213	6409	1	0.0212766	0.594926	
RootPopulationSizeScaler9	6843	6842	1	0.0212766	0.309564	
LeafPopulationSizeScaler9	8005	5573	1	0.0212766	0.97385	
RootPopulationSizeScaler10	6806	6796	1	0.0212766	0.308258	
LeafPopulationSizeScaler10	9539	4028	1	0.0212766	0.709989	
RootPopulationSizeScaler11	7169	6440	1	0.0212766	0.30336	
LeafPopulationSizeScaler11	7877	5641	1	0.0212766	0.74693	
RootPopulationSizeScaler12	6651	6966	1	0.0212766	0.312049	
LeafPopulationSizeScaler12	7617	5923	1	0.0212766	0.655197	
RootPopulationSizeScaler13	7027	6530	1	0.0212766	0.292154	
LeafPopulationSizeScaler13	8132	5449	1	0.0212766	0.75122	
generation 75000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15833	0	10	0.212766	none	
TimeSizeRateMixer	30426	30904	5	0.106383	0.205675	
TimeRootSizeMixer	16546	20330	3	0.0638298	0.189627	
EventTimeScaler	118024	112004	1	0.0212766	0.465947	
RootPopulationSizeScaler0	7042	7551	1	0.0212766	0.323601	
LeafPopulationSizeScaler0	8629	5979	1	0.0212766	1.43345	
RootPopulationSizeScaler1	7119	7470	1	0.0212766	0.321782	
LeafPopulationSizeScaler1	7529	7050	1	0.0212766	0.648841	
RootPopulationSizeScaler2	7159	7440	1	0.0212766	0.279081	
LeafPopulationSizeScaler2	7546	7097	1	0.0212766	0.477094	
RootPopulationSizeScaler3	7193	7324	1	0.0212766	0.307671	
LeafPopulationSizeScaler3	8353	6184	1	0.0212766	0.415398	
RootPopulationSizeScaler4	7366	7311	1	0.0212766	0.273117	
LeafPopulationSizeScaler4	7772	6793	1	0.0212766	0.470157	
RootPopulationSizeScaler5	6952	7565	1	0.0212766	0.322395	
LeafPopulationSizeScaler5	8342	6251	1	0.0212766	0.542117	
RootPopulationSizeScaler6	7345	7278	1	0.0212766	0.284064	
LeafPopulationSizeScaler6	7942	6697	1	0.0212766	0.536896	
RootPopulationSizeScaler7	7190	7372	1	0.0212766	0.294867	
LeafPopulationSizeScaler7	8240	6375	1	0.0212766	0.491328	
RootPopulationSizeScaler8	7171	7371	1	0.0212766	0.285481	
LeafPopulationSizeScaler8	7659	6907	1	0.0212766	0.596778	
RootPopulationSizeScaler9	7275	7357	1	0.0212766	0.31009	
LeafPopulationSizeScaler9	8532	5997	1	0.0212766	0.981455	
RootPopulationSizeScaler10	7286	7280	1	0.0212766	0.309292	
LeafPopulationSizeScaler10	10155	4384	1	0.0212766	0.720564	
RootPopulationSizeScaler11	7651	6919	1	0.0212766	0.304554	
LeafPopulationSizeScaler11	8378	6115	1	0.0212766	0.750935	
RootPopulationSizeScaler12	7128	7471	1	0.0212766	0.31248	
LeafPopulationSizeScaler12	8112	6389	1	0.0212766	0.658849	
RootPopulationSizeScaler13	7496	7025	1	0.0212766	0.293143	
LeafPopulationSizeScaler13	8628	5918	1	0.0212766	0.755595	
