generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_E1	ln_likelihood_E1	ln_prior_E1	root_height_E1	mutation_rate_E1	freq_1_E1	pop_size_E1	pop_size_W1	pop_size_root_E1	root_height_index_W2	ln_likelihood_W2	ln_prior_W2	root_height_W2	mutation_rate_W2	freq_1_W2	pop_size_W2	pop_size_E2	pop_size_root_W2	root_height_index_W3	ln_likelihood_W3	ln_prior_W3	root_height_W3	mutation_rate_W3	freq_1_W3	pop_size_W3	pop_size_E3	pop_size_root_W3	root_height_index_W6	ln_likelihood_W6	ln_prior_W6	root_height_W6	mutation_rate_W6	freq_1_W6	pop_size_W6	pop_size_E6	pop_size_root_W6	root_height_index_W8	ln_likelihood_W8	ln_prior_W8	root_height_W8	mutation_rate_W8	freq_1_W8	pop_size_W8	pop_size_E8	pop_size_root_W8	root_height_index_E	ln_likelihood_E	ln_prior_E	root_height_E	mutation_rate_E	freq_1_E	pop_size_E	pop_size_W	pop_size_root_E
500	-17852.5236306702354	42.465012115016691	5	7.5	0	-322.09507348644911	9.67219412827877179	0.00301461591323024403	1	0.5	0.00219977578761393995	0.000900692024712519278	0.0017508842635607666	1	-757.99616953798602	11.7947224901989216	0.00721567576146440754	1	0.5	0.004685720298114553	0.0036796896364200732	0.00416543008378953208	2	-4506.96055897954193	0.310461643997633985	0.0118345085879552388	1	0.5	0.00604003468817759619	0.0102235318828873337	0.0115806181561944246	3	-8019.51621783945666	0.889265341854262203	0.11634596886510469	1	0.5	0.0187657334006318746	0.00317832322546453402	0.0125234268518130895	0	-544.946272224716495	8.93466260652491684	0.00301461591323024403	1	0.5	0.00120372541703290745	0.000677492410585857981	0.00099042934151943071	4	-3701.00933860208352	10.3846899143346754	0.0505456121056285165	1	0.5	0.00714147055889434879	0.00323116603128849366	0.00475871196685387441
550	-17784.861343453158	42.7907316332775238	6	7.5	0	-323.753912152072076	10.0302507350027632	0.00242315070796670327	1	0.5	0.00345472749328519903	0.00106026868487827677	0.00256243490903716124	1	-757.922719281791274	11.3115460841711055	0.00454596300497360408	1	0.5	0.0059429026714485295	0.0028226030790009485	0.00436883515556666345	2	-4514.23543317574877	-1.6252802415356058	0.0180666429655710267	1	0.5	0.00839120125660704035	0.0106628751724615178	0.013647654895059225	3	-7943.58133976272256	-3.61070227360545104	0.100807430646205246	1	0.5	0.0235001162195330252	0.00331040533246205982	0.0157020354236616089	4	-547.750334288751446	8.78506444563848277	0.00589998850871321662	1	0.5	0.00143762438946015638	0.000665132133597699988	0.0011594639430962271	5	-3697.61760479206987	9.18008875922299694	0.0410064561196995525	1	0.5	0.00784838866273423336	0.00327833441230615747	0.00635179194803881918
600	-17695.7948104959432	35.6116515366732855	6	7.5	0	-324.890331006114138	11.9478873453097165	0.0019699269507303086	1	0.5	0.00283821233489649303	0.00209155946705461525	0.00254301272292918427	1	-758.552140355156553	10.4728878970167898	0.00356359892639307322	1	0.5	0.0043736871038751934	0.00362166833233757085	0.00467143076564566651	2	-4507.10793505649417	-0.162128549600275562	0.0122139666590597457	1	0.5	0.00651635839189184871	0.0097979163793453488	0.0117545677182536584	3	-7866.45704528853275	-8.56596471537018189	0.141486485650418797	1	0.5	0.0305721313082526897	0.0025467199118218058	0.0172537791446426732	4	-543.896062251788976	7.90421254151774377	0.00197639941242615637	1	0.5	0.000880832559362366117	0.000798862932334377354	0.000954090212612253535	5	-3694.89129653785858	8.34655679973911901	0.0420548934173297986	1	0.5	0.00888063784909411645	0.0033107644190226871	0.00703451883933116535
650	-17598.9972044511887	15.883757606804803	6	7.5	0	-320.37983531477073	9.64229498301548205	0.000593651983285109204	1	0.5	0.000867454480338350183	0.00120386190533719396	0.00105329373312682321	1	-758.16788182179846	10.8139527963450846	0.00702291700345194624	1	0.5	0.0062604449602460116	0.00412495718673935689	0.00484165195042742923	2	-4510.68571186162535	3.3273120229056552	0.0110685562702432534	1	0.5	0.0055050418861939945	0.0136531366068443211	0.0115693408899279725	3	-7770.49466294103786	-29.4361992354422597	0.123377682410870868	1	0.5	0.0513040996654441223	0.00251225903435368892	0.0320731662408080959	4	-544.217706132091735	7.79349186925746196	0.00225012026978931023	1	0.5	0.00112231610706454315	0.000531467358019924565	0.000913878967516047226	5	-3695.05140637986642	7.03245777931126526	0.0485298713452000444	1	0.5	0.00980615082144983136	0.0035647589366254724	0.00541150281096194636
700	-17549.8387503373306	-10.9664662324633149	6	7.5	0	-319.788003735742734	6.65659897623713803	0.00156077971967736261	1	0.5	0.000728764039871707516	0.00101095626308394648	0.00106068408445379953	1	-757.463764623265206	10.9910673620887991	0.00563873750946161482	1	0.5	0.00416640408557778907	0.00356691663243233811	0.00439567753969628307	2	-4508.87725909213805	2.02121208209679537	0.0122415526712544454	1	0.5	0.00633592786534029843	0.013503995019387198	0.0124905280217326078	3	-7724.97963217142569	-62.3791914187513328	0.0304184031714140532	1	0.5	0.0625480832602588882	0.00217181374920702138	0.0598045911124006485	4	-542.841361479746638	7.39734061431656897	0.00305689612610790485	1	0.5	0.000842489919040248936	0.000453532142329254049	0.000623419589397349884	5	-3695.88872923501276	8.16394311091010394	0.0452052735926601265	1	0.5	0.00821815677629066446	0.00283086260046682943	0.00659504082980716042
750	-17545.5324730033899	-20.3129651458361593	5	7.5	0	-321.530988368722717	10.620656703565146	0.00279760858552892356	1	0.5	0.00119998284041765782	0.0014413847439572853	0.00130021683413560855	1	-758.549885887700839	10.850551060315933	0.00367931378747911536	1	0.5	0.00525386621316102816	0.00337628974425135129	0.00482573241408677453	2	-4508.90216554554718	0.21590398684646317	0.0107140279326805535	1	0.5	0.00676239399431790688	0.0104234979946593673	0.0121145271623145975	3	-7717.23325313485657	-69.2738400783572104	0.0292505278831398097	1	0.5	0.0585018843689652651	0.00210414364398904324	0.0625812023775453447	0	-543.572567056050389	7.59515402128160844	0.00279760858552892356	1	0.5	0.00101554323980860791	0.000419026162696839205	0.00072679571594518066	4	-3695.74361301051431	8.83883185848450381	0.0389072899225556476	1	0.5	0.0088439692156187192	0.00311476877746948502	0.00668884432587827597
800	-17559.1147369974351	-6.35921444654684187	6	7.5	0	-320.28650529986021	7.41033602596314012	0.000960653131129755281	1	0.5	0.000764937464560391171	0.00153936954247165859	0.00141027754744074696	1	-758.108906918881758	11.153849434224643	0.00702921396058270136	1	0.5	0.0053920256817013958	0.00448548938209265748	0.00462882464535044856	2	-4508.19225317495238	2.41062226869147622	0.0137636238874391543	1	0.5	0.00670025339271744947	0.0108318769329117902	0.0115752398999257756	3	-7730.18193175632405	-59.0808875532660949	0.0180689627698165448	1	0.5	0.058588883426528536	0.00179224250764555893	0.055969290564236461	4	-545.466221997163075	7.03417826750985498	0.00696001563544119094	1	0.5	0.00080586597139640549	0.000923151176315315522	0.000696312842845526157	5	-3696.87891785025204	8.6990641436398235	0.0530285741456491128	1	0.5	0.00977981920540815265	0.00195054307489050298	0.00596382422308999391
850	-17549.3210123767967	-18.863140049006283	5	7.5	0	-322.0487613860181	9.88726535034220788	0.00233286467444971356	1	0.5	0.000710085674702470274	0.00191660824953617556	0.00133271521632454286	1	-758.872930570203948	10.4425489694988407	0.00446597675558818141	1	0.5	0.00413588765276087615	0.00498406391930963661	0.00523294677544822	2	-4510.40751137172083	4.26223709970016529	0.0112685949200758175	1	0.5	0.00553050558161334756	0.0122363096485344647	0.0107978822170116135	3	-7717.5469175430926	-70.3096420401012807	0.0226550566956309381	1	0.5	0.0580650700322493593	0.00173613855830338673	0.0624593978723312071	0	-544.712434824658772	9.58125564186862988	0.00233286467444971356	1	0.5	0.000933426926590043087	0.00114539131627214622	0.00097156098109645061	4	-3695.73245668110485	7.71406815060968754	0.0574327802951587821	1	0.5	0.0101020646902274715	0.0023395770127091816	0.00534345036138449397
900	-17567.1431807619883	-9.41305675524428231	5	7.5	0	-321.533583237486653	8.84900405297065973	0.00118003302003817298	1	0.5	0.000525406183289737518	0.00269678891121786796	0.00142657763445525228	1	-760.083226902256229	11.010315548054983	0.00958325146446688259	1	0.5	0.00525480963902961052	0.00519972324853316872	0.00497199455503158361	2	-4508.75095631845943	2.12259553805347778	0.0104648692247491272	1	0.5	0.0058754057832055822	0.0110695763049378539	0.0113681757281534242	3	-7730.91022963229625	-58.8918534619284699	0.0455905943083220327	1	0.5	0.057456379670655186	0.00166069494030152403	0.0552947330899178358	0	-545.940679168793508	8.8537722444655671	0.00118003302003817298	1	0.5	0.000788994689848273125	0.00131902047331838683	0.00117978207570872281	4	-3699.92450550269496	9.50229974954858037	0.0355196973781726766	1	0.5	0.00832262505277301355	0.00217971311245444398	0.00562077344002498511
950	-17561.1254902955152	-0.390534071899947932	6	7.5	0	-320.028445539975792	7.45525511400537155	0.000772882464765033876	1	0.5	0.000357493472608699423	0.00134495707074620829	0.000905920545539973818	1	-758.699444736134183	11.1630531180335666	0.00650782475890979845	1	0.5	0.00453188178846287894	0.00522187447392283288	0.00513751105434260592	2	-4515.8862536143115	7.28612873863702148	0.0118365356877008759	1	0.5	0.00592748207695138925	0.0104203480156015507	0.00879791087081509965	3	-7725.78325194202262	-61.0629821927717558	0.0290365502797730046	1	0.5	0.0580387516608484866	0.00213338006026472619	0.0574802060550215627	4	-544.044300720388492	8.9413128269438964	0.00224743562810877972	1	0.5	0.000761389792836055066	0.0011638564216548946	0.00104018309250896042	5	-3696.68379374268352	8.5335836402381382	0.0366148975475660277	1	0.5	0.00878076028219270874	0.00265141219360880013	0.00654368248034015772
